id,target
649,0.990367006
81136,0.980010486
70762,0.730769231
53935,0.980010486
15476,0.948740226
64797,0.980010486
67412,0.893280632
44241,0.801526718
5069,0.990367006
16615,0.990367006
84281,0.980010486
82623,0.968570565
86475,0.766990291
68263,0.980010486
113135,0.980010486
45532,0.990367006
102161,0.990367006
84789,0.58490566
62398,0.980010486
70148,0.980010486
102487,0.928837209
100513,0.893280632
92702,0.948740226
25051,0.708139535
92920,0.990367006
25520,0.968570565
81869,0.968570565
75402,0.980010486
34053,0.411764706
21191,0.990367006
10864,0.980010486
6349,0.980010486
85213,0.990367006
17255,0.942250845
108351,0.708139535
51437,0.942250845
88629,0.893280632
85367,0.990367006
12313,0.948740226
71659,0.980010486
35142,0.990367006
62988,0.990367006
8793,0.886435331
11433,0.990367006
30586,0.990367006
53012,0.980010486
87924,0.990367006
106177,0.968570565
63058,0.928837209
99537,0.990367006
35336,0.846938776
78691,0.942250845
16161,0.990367006
94318,0.980010486
96583,0.990367006
104560,0.968570565
19638,0.990367006
26080,0.990367006
113482,0.990367006
82175,0.990367006
1239,0.942250845
32521,0.708139535
68529,0.990367006
38882,0.436363636
8299,0.980010486
98521,0.968570565
47257,0.948740226
42445,0.942250845
104700,0.589041096
109204,0.990367006
20138,0.644295302
28468,0.990367006
94964,0.766990291
59773,0.964980545
17261,0.990367006
9570,0.968570565
55159,0.708139535
82480,0.990367006
51225,0.708139535
53176,0.80326087
82883,0.980010486
63590,0.990367006
50906,0.411764706
21635,0.861209964
84000,0.942250845
79029,0.990367006
60256,0.990367006
110660,0.856164384
51023,0.980010486
99146,0.928837209
93878,0.980010486
93845,0.980010486
5364,0.5
106612,0.968570565
79928,0.990367006
94761,0.971796938
7126,0.990367006
82176,0.942250845
53475,0.436363636
88108,0.990367006
65166,0.980010486
65378,0.942250845
47119,0.971796938
64338,0.990367006
48872,0.928837209
26061,0.980010486
78191,0.990367006
108224,0.990367006
47646,0.861209964
63423,0.990367006
109453,0.942250845
43299,0.990367006
86879,0.980010486
51882,0.990367006
84497,0.580821918
19699,0.942250845
52164,0.968570565
36055,0.942250845
17844,0.990367006
12006,0.990367006
51731,0.990367006
101823,0.942250845
70611,0.980010486
57291,0.656462585
3315,0.928837209
6841,0.942250845
95636,0.801526718
89508,0.990367006
78357,0.971796938
30363,0.990367006
65880,0.948740226
79166,0.942250845
16883,0.928837209
19400,0.990367006
97846,0.990367006
35938,0.886435331
109739,0.980010486
7542,0.928837209
62506,0.990367006
106686,0.980010486
22500,0.980010486
73566,0.948740226
34462,0.990367006
109,0.990367006
